Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
,,,,,,,,,,,,,,,,,,,
xuiCoffeePercolator,UI,XUI,,,Coffee Percolator,,Kaffeemaschine,,,,,,,,,,,,
xuiCoffeeBeans,UI,XUI,,,CoffeeBeans,,Kaffeebohnen,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
RaceChanger_white,items,gun,,IZY hands skin white,IZY hands skin white,,IZY Hände Haut weiß,,,,,,,,,,,,
RaceChanger_whiteDesc,items,gun,,,Just hold this item and it's done. drop it and forget it,,"Einfach den Gegenstand festhalten, fertig. Loslassen und vergessen.",,,,,,,,,,,,
RaceChanger_black,items,gun,,IZY hands skin black,IZY hands skin black,,IZY Hands Skin Black,,,,,,,,,,,,
RaceChanger_blackDesc,items,gun,,,Just hold this item and it's done. drop it and forget it,,"Einfach den Gegenstand festhalten, fertig. Loslassen und vergessen.",,,,,,,,,,,,
RaceChanger_asian,items,gun,,IZY hands skin asian,IZY hands skin asian,,IZY Hände Haut asiatisch,,,,,,,,,,,,
RaceChanger_asianDesc,items,gun,,,Just hold this item and it's done. drop it and forget it,,"Einfach den Gegenstand festhalten, fertig. Loslassen und vergessen.",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
noteDuke01Desc,items,Quest - Note,,,"Just a friendly reminder to choose your classs, This will give you a set of items. Use these to make early game a little easier. -War3zuk",,"Nur eine freundliche Erinnerung: Wählt eure Klassen. Dadurch erhaltet ihr eine Reihe von Gegenständen. Nutzt diese, um den Spielbeginn etwas zu erleichtern. – War3zuk",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
quest_buried_supplies_response,Quest,Quest Info,,,[e6a715](War3zuk) Find the buried supplies[-] ([e0dbcc]{treasure.distance} {treasure.direction}[-]),,[e6a715](War3zuk) Finde die vergrabenen Vorräte[-] ([e0dbcc]{treasure.distance} {treasure.direction}[-]),,,,,,,,,,,,
quest_clear_response,Quest,Quest Info,,,[e6cd15]Clear[-] ([f7f6f2]{poi.name}[-]) ([e0dbcc]{poi.distance} {poi.direction}[-]),,[e6cd15]Clear[-] ([f7f6f2]{poi.name}[-]) ([e0dbcc]{poi.distance} {poi.direction}[-]),,,,,,,,,,,,
quest_fetch_response,Quest,Quest Info,,,[c3e615]Fetch[-] ([f7f6f2]{poi.name}[-]) ([e0dbcc]{poi.distance} {poi.direction}[-]),,[c3e615]Fetch[-] ([f7f6f2]{poi.name}[-]) ([e0dbcc]{poi.distance} {poi.direction}[-]),,,,,,,,,,,,
quest_fetch_clear_response,Quest,Quest Info,,,[88e615]Fetch[-] / [f7f6f2]Clear[-] ([e0dbcc]{poi.name}[-]) ([DECEA3]{poi.distance} {poi.direction}[-]),,[88e615]Fetch[-] / [f7f6f2]Clear[-] ([e0dbcc]{poi.name}[-]) ([DECEA3]{poi.distance} {poi.direction}[-]),,,,,,,,,,,,
quest_infestation_response,Quest,Quest Info,,,[15e615]Infested Clear[-] ([f7f6f2]{poi.name}[-]) ([e0dbcc]{poi.distance} {poi.direction}[-]),,[15e615]Befallen Klar[-] ([f7f6f2]{poi.name}[-]) ([e0dbcc]{poi.distance} {poi.direction}[-]),,,,,,,,,,,,
quest_restore_power_response,Quest,Quest Info,,,[15e692]Restore Power[-] [[f7f6f2]Night Only[-]] ([e0dbcc]{poi.name}[-]) ([DECEA3]{poi.distance} {poi.direction}[-]),,[15e692]Strom wiederherstellen[-] [[f7f6f2]Nur Nacht[-]] ([e0dbcc]{poi.name}[-]) ([DECEA3]{poi.distance} {poi.direction}[-]),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
tutorialTipQuest01_title,Journal Tip,,,,Welcome to War3zuk AIO OverHaul,,Willkommen bei War3zuk AIO OverHaul,,,,,,,,,,,,
tutorialTipQuest01,Journal Tip,,,,"Quests are now part of the challenge system so theres 10 to complete before being granted a Vending Machine that once placed in the world will give you access to that particular Quests items like a Trader. This mod tries to make full use of items normally thrown so always check an item for a new recipe. The Mod itself adds many new custom models and items. blocks and many other changes most of which affect around 90% of the core game. Most mod items start with the abbreviation HD for easy indexing. Items that are meant to be crafted on the player are still crafted there but most other things are gated behind an HD bench of some sort,\n\nYou will Find NO HD Weapons in the world -War3zuk",,"Quests sind nun Teil des Herausforderungssystems. Es müssen 10 Quests abgeschlossen werden, bevor ein Verkaufsautomat freigeschaltet wird. Dieser Automat gewährt, sobald er in der Welt platziert ist, Zugriff auf die Gegenstände der jeweiligen Quest, ähnlich wie ein Händler. Diese Mod versucht, normalerweise weggeworfene Gegenstände optimal zu nutzen. Überprüfen Sie daher immer einen Gegenstand auf ein neues Rezept. Die Mod selbst fügt viele neue, benutzerdefinierte Modelle und Gegenstände, Blöcke und viele weitere Änderungen hinzu, die etwa 90 % des Kernspiels betreffen. Die meisten Mod-Gegenstände beginnen mit der Abkürzung HD, um die Indexierung zu vereinfachen. Gegenstände, die vom Spieler hergestellt werden sollen, werden weiterhin dort hergestellt, aber die meisten anderen Dinge sind hinter einer HD-Werkbank oder Ähnlichem versteckt. \n\n Du wirst KEINE HD-Waffen in der Welt finden. -War3zuk",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
tutorialTipQuest02_title,Journal Tip,,,,War3zuk OverHaul Info,,War3zuk OverHaul Info,,,,,,,,,,,,
tutorialTipQuest02,Journal Tip,,,,"Greetings Zombie Slayer,This is War3zuk the mod author speaking..\n\nYou are currently using the War3zuk 105 inventory slots UI, You start the game with 15 slots and will be granted a further 15 when you max out the perk, Pack Mule, giving you a total of 30 usable inventory slots.\n\nThe only way to add the other 75 slots is to find and use the HD Ruck Sack Addons which are found in Dumpsters, Lockers, Army trucks and often rubbish piles that are then added to Armor pieces granting 15 extra slots each, -War3zuk",,"Seid gegrüßt, Zombie-Jäger! Hier spricht War3zuk, der Mod-Autor. \n\n Ihr verwendet aktuell die War3zuk-Benutzeroberfläche mit 105 Inventarplätzen. Ihr startet das Spiel mit 15 Plätzen und erhaltet weitere 15, sobald ihr den Vorteil „Packesel“ maximiert habt. Damit stehen euch insgesamt 30 nutzbare Inventarplätze zur Verfügung. \n\n Die restlichen 75 Plätze erhaltet ihr nur durch die HD-Rucksack-Addons. Diese findet ihr in Müllcontainern, Spinden, Armeelastwagen und oft auch in Müllhaufen. Die Addons werden dann an Rüstungsteilen angebracht und gewähren jeweils 15 zusätzliche Plätze. – War3zuk",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
quest_WhiteRiverCitizen1_description,Quest,Quest Info,,,"Good job on completing the basics,\n\nYou can now head towards the Trader.\n\nWelcome Aboard Player, War3zuk",,"Gut gemacht, dass du die Grundlagen abgeschlossen hast. \n\n Du kannst dich jetzt zum Händler begeben. \n\n Willkommen an Bord, Spieler War3zuk",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
quest_white_river_completion,Quest,Quest Info,,,"Noah sent you, eh? Well, you're going to have to show us your capabilities.\n\nTake this first bundle and accept your first quest. ",,"Noah hat dich geschickt, nicht wahr? Nun, du musst uns erst einmal zeigen, was du kannst. \n\nNimm dieses erste Bündel und nimm deine erste Quest an.",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
buffBurnt01Desc,buffs,Buff,,,"Course smoke irritates your lungs. Go indoors to catch your breath, or drink a burnt smoothie to make breathing a little easier.",,"Grober Rauch reizt die Lunge. Gehen Sie ins Haus, um wieder zu Atem zu kommen, oder trinken Sie einen angebrannten Smoothie, um das Atmen etwas zu erleichtern.",,,,,,,,,,,,
